case_id,amp,pw,Ea_mean,Ea_sigma,tfe,epife_read,Iref,VFB_read,VG_name,dV1,dV10,dV100,dV1000,A1,A10,A100,A1000,ratio1,ratio10,ratio100,g1_1_10,g2_10_100,g3_100_1000,A1e6_heur,is_mono,trend_score,elapsed_s
A1p40_PW0p02us_Em0p95_Es0p18_tfe1p20em6_epi22p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.4,2e-08,0.95,0.18,1.2e-06,22,1e-07,-0.5,VGm0p8_to_2p2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.8,17.6202012
A1p40_PW0p02us_Em0p95_Es0p20_tfe1p20em6_epi22p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.4,2e-08,0.95,0.2,1.2e-06,22,1e-07,-0.5,VGm0p8_to_2p2,-0.0102753846609501,0,0,0,0.0102753846609501,0,0,0,10275384660950.1,0,0,-0.0102753846609501,0,0,0,0,-5137692330476.26,18.1476949
A1p40_PW0p02us_Em1p00_Es0p18_tfe1p20em6_epi22p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.4,2e-08,1,0.18,1.2e-06,22,1e-07,-0.5,VGm0p8_to_2p2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.8,18.7157961
A1p40_PW0p02us_Em1p00_Es0p20_tfe1p20em6_epi22p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.4,2e-08,1,0.2,1.2e-06,22,1e-07,-0.5,VGm0p8_to_2p2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.8,18.6561575
A1p40_PW0p02us_Em1p05_Es0p18_tfe1p20em6_epi22p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.4,2e-08,1.05,0.18,1.2e-06,22,1e-07,-0.5,VGm0p8_to_2p2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.8,18.9446477
A1p40_PW0p02us_Em1p05_Es0p20_tfe1p20em6_epi22p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.4,2e-08,1.05,0.2,1.2e-06,22,1e-07,-0.5,VGm0p8_to_2p2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.8,17.2779084
A1p40_PW0p05us_Em0p95_Es0p18_tfe1p20em6_epi22p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.4,5e-08,0.95,0.18,1.2e-06,22,1e-07,-0.5,VGm0p8_to_2p2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.8,19.7683002
A1p40_PW0p05us_Em0p95_Es0p20_tfe1p20em6_epi22p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.4,5e-08,0.95,0.2,1.2e-06,22,1e-07,-0.5,VGm0p8_to_2p2,0.0102895565445312,-0.0102895565445312,0.0102895565445312,0,0.0102895565445312,0.0102895565445312,0.0102895565445312,0,10289556544531.2,10289556544531.2,10289556544531.2,0,0,-0.0102895565445312,0,0,-10289556544534.1,17.1818152
A1p40_PW0p05us_Em1p00_Es0p18_tfe1p20em6_epi22p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.4,5e-08,1,0.18,1.2e-06,22,1e-07,-0.5,VGm0p8_to_2p2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.8,22.5011691
A1p40_PW0p05us_Em1p00_Es0p20_tfe1p20em6_epi22p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.4,5e-08,1,0.2,1.2e-06,22,1e-07,-0.5,VGm0p8_to_2p2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.8,19.3970819
