case_id,amp,pw,Ea_mean,Ea_sigma,tfe,epife_read,Iref,VFB_read,VG_name,dV1,dV10,dV100,dV1000,A1,A10,A100,A1000,ratio1,ratio10,ratio100,g1_1_10,g2_10_100,g3_100_1000,A1e6_heur,is_mono,trend_score,elapsed_s
A1p60_PW0p05us_Em0p95_Es0p18_tfe1p20em6_epi22p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.6,5e-08,0.95,0.18,1.2e-06,22,1e-07,-0.5,VGm0p8_to_2p2,0,0,-0.0103307628300745,-0.082116702287617,0,0,0.0103307628300745,0.082116702287617,0,0,0.12580586582606,0,0.0103307628300745,0.0717859394575425,0.189795611473931,1,1.13205610612335,21.9413371
A1p60_PW0p05us_Em1p00_Es0p18_tfe1p20em6_epi22p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.6,5e-08,1,0.18,1.2e-06,22,1e-07,-0.5,VGm0p8_to_2p2,0,0,-0.0205280976479344,-0.0821167022876163,0,0,0.0205280976479344,0.0821167022876163,0,0,0.249986873267683,0,0.0205280976479344,0.0615886046396819,0.174499609247139,1,1.13154623938245,21.3731472
A1p60_PW0p10us_Em1p00_Es0p20_tfe1p20em6_epi22p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.6,1e-07,1,0.2,1.2e-06,22,1e-07,-0.5,VGm0p8_to_2p2,0,0,-0.0205280976479354,-0.0821081077611894,0,0,0.0205280976479354,0.0821081077611894,0,0,0.250013040218162,0,0.0205280976479354,0.061580010113254,0.17447812293107,1,1.13151143155042,24.5777421
A1p60_PW0p10us_Em0p95_Es0p18_tfe1p20em6_epi22p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.6,1e-07,0.95,0.18,1.2e-06,22,1e-07,-0.5,VGm0p8_to_2p2,0,0,-0.0615842977545267,-0.0821253158391413,0,0,0.0615842977545267,0.0821253158391413,0,0,0.749882020242719,0,0.0615842977545267,0.0205410180846146,0.112936842966063,1,1.1295283142608,28.6758207
A1p60_PW0p02us_Em0p95_Es0p20_tfe1p20em6_epi22p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.6,2e-08,0.95,0.2,1.2e-06,22,1e-07,-0.5,VGm0p8_to_2p2,0,0,-0.0513805242032356,-0.0719976907101083,0,0,0.0513805242032356,0.0719976907101083,0,0,0.713641280664324,0,0.0513805242032356,0.0206171665068727,0.102923440470417,1,1.08902162116578,21.9434801
A1p60_PW0p10us_Em1p00_Es0p18_tfe1p20em6_epi22p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.6,1e-07,1,0.18,1.2e-06,22,1e-07,-0.5,VGm0p8_to_2p2,0,0,-0.0205693770893549,-0.0617148010776929,0,0,0.0205693770893549,0.0617148010776929,0,0,0.333297308427845,0,0.0205693770893549,0.041145423988338,0.1234329370602,1,1.04891647551019,23.2922762
A1p60_PW0p05us_Em0p95_Es0p20_tfe1p20em6_epi22p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.6,5e-08,0.95,0.2,1.2e-06,22,1e-07,-0.5,VGm0p8_to_2p2,0,-0.0102753846609502,-0.0308013360274476,-0.0822730753710581,0,0.0102753846609502,0.0308013360274476,0.0822730753710581,0,0.124893649770687,0.374379295881808,0.0102753846609502,0.0205259513664974,0.0514717393436105,0.159480684386474,1,1.03325521725274,25.8911744
A1p60_PW0p05us_Em1p00_Es0p20_tfe1p20em6_epi22p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.6,5e-08,1,0.2,1.2e-06,22,1e-07,-0.5,VGm0p8_to_2p2,0,0,-0.020567157652042,-0.0512947412099956,0,0,0.020567157652042,0.0512947412099956,0,0,0.400960355133523,0,0.020567157652042,0.0307275835579536,0.0973861165469259,1,1.00671534401788,22.8544879
A1p60_PW0p10us_Em0p95_Es0p20_tfe1p20em6_epi22p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.6,1e-07,0.95,0.2,1.2e-06,22,1e-07,-0.5,VGm0p8_to_2p2,0,-0.0205627278437903,-0.0615714350534757,-0.0925715152742644,0,0.0205627278437903,0.0615714350534757,0.0925715152742644,0,0.222128024834297,0.665122903854994,0.0205627278437903,0.0410087072096854,0.0310000802207887,0.139071635605447,1,0.988802505237683,27.9176138
A1p60_PW0p02us_Em1p00_Es0p20_tfe1p20em6_epi22p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.6,2e-08,1,0.2,1.2e-06,22,1e-07,-0.5,VGm0p8_to_2p2,0,0,-0.0102895565445305,-0.0410540490144321,0,0,0.0102895565445305,0.0410540490144321,0,0,0.250634390311009,0,0.0102895565445305,0.0307644924699016,0.0872007877192846,1,0.965754420681224,20.9304581
