case_id,amp,pw,Ea_mean,Ea_sigma,tfe,epife_read,Iref,VFB_read,VG_name,dV1,dV10,dV30,dV100,A1,A10,A30,A100,gradual,inc_1_10,inc_10_30,inc_30_100,ratio1,ratio10,ratio30,score_B,is_invalid,is_weak_all,is_too_fast,valid0,valid1,valid10,valid30,valid100,P0,P1,P10,P30,P100,Vth0,Vth1,Vth10,Vth30,Vth100,IDmin1,IDmin10,IDmin30,IDmin100,IDmax1,IDmax10,IDmax30,IDmax100,elapsed_s
A2p20_PW0p20us_Em0p95_Es0p20_tfe2p00em6_epi16p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,2.2,2e-07,0.95,0.2,2e-06,16,1e-07,-0.5,VGm0p8_to_2p2,0.416731225232645,0.932254885904459,0.861529027888536,0.868603635633484,0.416731225232645,0.932254885904459,0.861529027888536,0.868603635633484,0.451872410400839,0.515523660671814,-0.0707258580159229,0.00707460774494817,0.479771449412272,1.07327997219877,0.991855194412364,1.6072675144165,0,0,1,1,1,1,1,1,0.290000000000013,-0.00500000000000024,-0.370000000000016,-0.320000000000014,-0.325000000000014,0.675272358735379,1.09200358396802,1.60752724463984,1.53680138662392,1.54387599436886,1.75123509390626e-23,9.38275252139692e-24,3.48332115586609e-24,1.70848621204735e-23,1.48066589682638e-06,7.95616284246918e-07,8.87333178581641e-07,8.7812258553934e-07,14.5698483
A2p20_PW0p20us_Em0p95_Es0p20_tfe2p00em6_epi18p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,2.2,2e-07,0.95,0.2,2e-06,18,1e-07,-0.5,VGm0p8_to_2p2,0.332631727800332,0.847203076719984,0.828370914465001,0.784562107353983,0.332631727800332,0.847203076719984,0.828370914465001,0.784562107353983,0.451930379553651,0.514571348919652,-0.0188321622549827,-0.0438088071110181,0.423971186834612,1.07984195104358,1.05583854573192,1.24835977945026,0,0,1,1,1,1,1,1,0.300000000000014,0.0350000000000016,-0.375000000000016,-0.360000000000016,-0.325000000000015,0.652249133030209,0.984880860830541,1.49945220975019,1.48062004749521,1.43681124038419,8.95859722683447e-24,1.65844904097377e-23,1.76176015301523e-23,1.64927791268717e-23,1.78189247212253e-06,1.01960805771233e-06,1.04688890736076e-06,1.11077043872196e-06,14.6405733
A2p20_PW0p20us_Em0p95_Es0p20_tfe1p50em6_epi16p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,2.2,2e-07,0.95,0.2,1.5e-06,16,1e-07,-0.5,VGm0p8_to_2p2,0.339041686713859,0.752401201518313,0.715266223847724,0.720317982378353,0.339041686713859,0.752401201518313,0.715266223847724,0.720317982378353,0.381276295664493,0.413359514804453,-0.0371349776705885,0.00505175853062867,0.470683357917025,1.04454035568295,0.992986766047477,0.846535120523835,0,0,1,1,1,1,1,1,0.320000000000014,1.08420217248555e-16,-0.390000000000018,-0.355000000000016,-0.360000000000016,0.619583603698826,0.958625290412685,1.37198480521714,1.33484982754655,1.33990158607718,8.96926647609499e-24,3.13719914854295e-23,1.23547030759997e-23,9.03001696276242e-24,2.0722598656e-06,1.36488143686477e-06,1.42747792439006e-06,1.41852261928017e-06,14.8850086
A2p20_PW0p20us_Em0p95_Es0p20_tfe2p00em6_epi20p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,2.2,2e-07,0.95,0.2,2e-06,20,1e-07,-0.5,VGm0p8_to_2p2,0.293900823996335,0.762586046968007,0.785195016841657,0.700542532256321,0.293900823996335,0.762586046968007,0.785195016841657,0.700542532256321,0.406641708259986,0.468685222971672,0.0226089698736498,-0.084652484585336,0.419533162461576,1.08856495052749,1.12083846545717,0.708216957797126,0,0,1,1,1,1,1,1,0.290000000000013,0.0300000000000014,-0.385000000000017,-0.405000000000018,-0.330000000000015,0.656276976542261,0.950177800538596,1.41886302351027,1.44147199338392,1.35681950879858,1.15616326007532e-23,9.99405804099048e-24,1.0256587338489e-23,9.80623618971559e-24,1.98823774790473e-06,1.22738978734274e-06,1.19144989195307e-06,1.32664726386586e-06,15.08411
A2p20_PW0p20us_Em0p95_Es0p20_tfe1p80em6_epi16p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,2.2,2e-07,0.95,0.2,1.8e-06,16,1e-07,-0.5,VGm0p8_to_2p2,0.381343900825063,0.858146720954716,0.832870420160754,0.743745165096632,0.381343900825063,0.858146720954716,0.832870420160754,0.743745165096632,0.362401264271569,0.476802820129653,-0.0252763007939625,-0.0891252550641217,0.512734628366312,1.15381821788814,1.11983305471645,0.632132296441305,0,0,1,1,1,1,1,1,0.295000000000013,-0.00500000000000039,-0.380000000000017,-0.360000000000016,-0.290000000000013,0.65925917623734,1.0406030770624,1.51740589719206,1.49212959639809,1.40300434133397,9.47834067329837e-24,9.29067052361269e-24,1.62199139377434e-23,9.31263551209263e-24,1.68168252528135e-06,9.84972131413775e-07,1.02135974308338e-06,1.1495398785094e-06,14.7782635
A2p20_PW0p20us_Em0p95_Es0p20_tfe2p00em6_epi22p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,2.2,2e-07,0.95,0.2,2e-06,22,1e-07,-0.5,VGm0p8_to_2p2,0.313289117647593,0.754910213828902,0.719012399881476,0.683201267916972,0.313289117647593,0.754910213828902,0.719012399881476,0.683201267916972,0.369912150269379,0.441621096181309,-0.0358978139474264,-0.0358111319645036,0.458560503850918,1.10496020613452,1.05241666496564,0.591119694116502,0,0,1,1,1,1,1,1,0.315000000000014,0.0100000000000006,-0.420000000000018,-0.385000000000017,-0.350000000000016,0.62368479507503,0.936973912722623,1.37859500890393,1.34269719495651,1.306886062992,1.63252547477817e-23,3.18215712070852e-23,1.6511896752995e-23,8.92288944096463e-24,2.15906344061681e-06,1.38358059010747e-06,1.44575220716643e-06,1.50812590144453e-06,14.539986
A2p20_PW0p20us_Em0p95_Es0p20_tfe1p80em6_epi18p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,2.2,2e-07,0.95,0.2,1.8e-06,18,1e-07,-0.5,VGm0p8_to_2p2,0.339018433378405,0.757146779018436,0.751508440727298,0.695027691309214,0.339018433378405,0.757146779018436,0.751508440727298,0.695027691309214,0.356009257930809,0.418128345640031,-0.00563833829113825,-0.0564807494180832,0.487776872227639,1.08937642123612,1.08126402749751,0.516572560476157,0,0,1,1,1,1,1,1,0.290000000000013,-0.0100000000000004,-0.380000000000017,-0.375000000000017,-0.325000000000015,0.656276976542261,0.995295409920666,1.4134237555607,1.40778541726956,1.35130466785148,3.19597923706692e-23,1.86425758877564e-23,9.20647826637409e-24,1.18242519654288e-23,1.91390277678345e-06,1.23638799950067e-06,1.24539140091351e-06,1.33569984261433e-06,14.736056
A2p20_PW0p20us_Em0p95_Es0p20_tfe1p50em6_epi18p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,2.2,2e-07,0.95,0.2,1.5e-06,18,1e-07,-0.5,VGm0p8_to_2p2,0.26373997938696,0.654251973370571,0.649751841960344,0.630881474982141,0.26373997938696,0.654251973370571,0.649751841960344,0.630881474982141,0.367141495595181,0.390511993983611,-0.00450013141022665,-0.0188703669782033,0.418049966349743,1.03704419818174,1.02991111282628,0.469438020152474,0,0,1,1,1,1,1,1,0.310000000000014,0.0300000000000013,-0.385000000000017,-0.380000000000017,-0.360000000000016,0.624830358161398,0.888570337548358,1.27908233153197,1.27458220012174,1.25571183314354,9.52442889909642e-24,1.66902479805946e-23,1.00593455636372e-23,1.65469431582022e-23,2.39503423085813e-06,1.65653894247628e-06,1.66532362535763e-06,1.70049526857486e-06,15.3697704
A2p20_PW0p20us_Em0p95_Es0p20_tfe1p80em6_epi20p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,2.2,2e-07,0.95,0.2,1.8e-06,20,1e-07,-0.5,VGm0p8_to_2p2,0.330599210283536,0.676108721568145,0.666241516954694,0.625559944181804,0.330599210283536,0.676108721568145,0.666241516954694,0.625559944181804,0.294960733898268,0.345509511284609,-0.00986720461345092,-0.04068157277289,0.528485260858479,1.08080564917317,1.0650322533456,0.0493653401667682,0,0,1,1,1,1,1,1,0.295000000000013,-0.0300000000000013,-0.370000000000016,-0.360000000000016,-0.320000000000014,0.643587061392685,0.974186271676222,1.31969578296083,1.30982857834738,1.26914700557449,1.89462885276762e-23,3.13960039422155e-23,1.62145584559759e-23,1.6916971717207e-23,2.10877948531741e-06,1.49621620077588e-06,1.51401651576512e-06,1.58536938491834e-06,14.8073201
A2p20_PW0p20us_Em0p95_Es0p20_tfe1p80em6_epi22p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,2.2,2e-07,0.95,0.2,1.8e-06,22,1e-07,-0.5,VGm0p8_to_2p2,0.30484488738709,0.646988875254838,0.637953508771079,0.582340974693035,0.30484488738709,0.646988875254838,0.637953508771079,0.582340974693035,0.277496087305945,0.342143987867748,-0.00903536648375858,-0.0556125340780438,0.523481775514389,1.11101382758766,1.09549823298517,-0.205365895712327,0,0,1,1,1,1,1,1,0.320000000000014,-0.0100000000000005,-0.380000000000017,-0.370000000000017,-0.310000000000014,0.614806507088143,0.919651394475233,1.26179538234298,1.25276001585922,1.19714748178118,1.80799466610534e-23,9.47475236745015e-24,8.9481390130812e-24,2.75301073826671e-23,2.36669451357408e-06,1.71112346396947e-06,1.72864931940096e-06,1.83406094298947e-06,14.9532267
