case_id,amp,pw,Ea_mean,Ea_sigma,tfe,epife_read,Iref,VFB_read,VG_name,P0,Vth0,idmin0,idmax0,valid0,dV1,dV10,dV100,dP1,dP10,dP100,gradual,ratio1,ratio10,valid_ratio,progress_score,is_invalid,is_weak_all,is_early_saturate,is_progressive
A1p40_PW2p00em02us_Em1p00_Es0p15_tfe8p00em07_epi24p0_Iref1p0em07_VFBm0p50_VGm0p8_to_2p2,1.4,2e-08,1,0.15,8e-07,24,1e-07,-0.5,VGm0p8_to_2p2,0.44000000000002,0.549359872915206,1.64766486709076e-23,5.54977585850598e-06,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
A1p40_PW2p00em02us_Em1p00_Es0p15_tfe8p00em07_epi28p0_Iref1p0em07_VFBm0p50_VGm0p8_to_2p2,1.4,2e-08,1,0.15,8e-07,28,1e-07,-0.5,VGm0p8_to_2p2,0.44000000000002,0.55377338428963,1.6582958106025e-23,6.00873654364318e-06,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
A1p40_PW2p00em02us_Em1p00_Es0p15_tfe1p00em06_epi24p0_Iref1p0em07_VFBm0p50_VGm0p8_to_2p2,1.4,2e-08,1,0.15,1e-06,24,1e-07,-0.5,VGm0p8_to_2p2,0.44000000000002,0.541259809763794,6.26520836703786e-24,4.90137214097968e-06,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
A1p40_PW2p00em02us_Em1p00_Es0p15_tfe1p00em06_epi28p0_Iref1p0em07_VFBm0p50_VGm0p8_to_2p2,1.4,2e-08,1,0.15,1e-06,28,1e-07,-0.5,VGm0p8_to_2p2,0.44000000000002,0.54709395675833,1.97443953074404e-23,5.34673438692285e-06,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
A1p40_PW2p00em02us_Em1p00_Es0p20_tfe8p00em07_epi24p0_Iref1p0em07_VFBm0p50_VGm0p8_to_2p2,1.4,2e-08,1,0.2,8e-07,24,1e-07,-0.5,VGm0p8_to_2p2,0.345000000000015,0.58504014422875,1.76214692994644e-23,5.42089212743169e-06,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
A1p40_PW2p00em02us_Em1p00_Es0p20_tfe8p00em07_epi28p0_Iref1p0em07_VFBm0p50_VGm0p8_to_2p2,1.4,2e-08,1,0.2,8e-07,28,1e-07,-0.5,VGm0p8_to_2p2,0.345000000000015,0.58435894171911,1.61695211345517e-23,5.88847802997353e-06,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
A1p40_PW2p00em02us_Em1p00_Es0p20_tfe1p00em06_epi24p0_Iref1p0em07_VFBm0p50_VGm0p8_to_2p2,1.4,2e-08,1,0.2,1e-06,24,1e-07,-0.5,VGm0p8_to_2p2,0.345000000000015,0.586221567268164,3.19990838490123e-23,4.76039172426974e-06,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
A1p40_PW2p00em02us_Em1p00_Es0p20_tfe1p00em06_epi28p0_Iref1p0em07_VFBm0p50_VGm0p8_to_2p2,1.4,2e-08,1,0.2,1e-06,28,1e-07,-0.5,VGm0p8_to_2p2,0.345000000000015,0.585379051149079,1.68883685783948e-23,5.21405043700944e-06,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
A1p40_PW2p00em02us_Em1p00_Es0p25_tfe8p00em07_epi24p0_Iref1p0em07_VFBm0p50_VGm0p8_to_2p2,1.4,2e-08,1,0.25,8e-07,24,1e-07,-0.5,VGm0p8_to_2p2,0.230000000000011,0.628446163010197,6.28505500606967e-24,5.26504100014333e-06,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
A1p40_PW2p00em02us_Em1p00_Es0p25_tfe8p00em07_epi28p0_Iref1p0em07_VFBm0p50_VGm0p8_to_2p2,1.4,2e-08,1,0.25,8e-07,28,1e-07,-0.5,VGm0p8_to_2p2,0.230000000000011,0.62131720121402,1.71058422773671e-23,5.74303236655797e-06,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
