case_id,amp,pw,Ea_mean,Ea_sigma,tfe,epife_read,Iref,VFB_read,VG_name,dV1,dV10,dV100,A1,A10,A100,gradual,inc_1_10,inc_10_100,ratio1,ratio10,late_early_ratio,progress_score,is_invalid,is_weak_all,is_early_saturate,is_progressive,valid0,valid1,valid10,valid100,P0,P1,P10,P100,Vth0,Vth1,Vth10,Vth100,IDmin1,IDmin10,IDmin100,IDmax1,IDmax10,IDmax100,elapsed_s
A2p20_PW0p02us_Em0p95_Es0p20_tfe1p50em6_epi20p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,2.2,2e-08,0.95,0.2,1.5e-06,20,1e-07,-0.5,VGm0p8_to_2p2,0.127011239616288,0.533714014242559,0.521192564141335,0.127011239616288,0.533714014242559,0.521192564141335,0.394181324525047,0.406702774626271,-0.0125214501012241,0.243693499015165,1.02402461386197,-0.0307877174251647,0.244275050526942,0,0,1,0,1,1,1,1,0.300000000000013,0.150000000000006,-0.330000000000015,-0.315000000000014,0.628962251067897,0.755973490684185,1.16267626531046,1.15015481520923,3.00696744835616e-23,6.25974852373807e-23,9.12344718487174e-24,2.86054268891513e-06,2.02105906304676e-06,2.04701363886938e-06,9.4678316
A2p20_PW0p02us_Em1p00_Es0p25_tfe1p50em6_epi20p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,2.2,2e-08,1,0.25,1.5e-06,20,1e-07,-0.5,VGm0p8_to_2p2,0.0422987233365855,0.415287483720321,0.41950243951529,0.0422987233365855,0.415287483720321,0.41950243951529,0.377203716178705,0.372988760383736,0.00421495579496911,0.100830696921475,0.989952488000215,0.0113004901022559,0.185195613347966,0,0,1,0,1,1,1,1,0.200000000000009,0.150000000000007,-0.290000000000013,-0.295000000000013,0.7136747673476,0.755973490684185,1.12896225106792,1.13317720686289,3.16273558359455e-23,1.81188700924496e-23,1.86132671675503e-23,2.86054268891513e-06,2.09031876229176e-06,2.08165305939898e-06,10.3590712
A2p20_PW0p05us_Em1p00_Es0p20_tfe1p50em6_epi20p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,2.2,5e-08,1,0.2,1.5e-06,20,1e-07,-0.5,VGm0p8_to_2p2,0,0.402564360734546,0.360172336952431,0,0.402564360734546,0.360172336952431,0.360172336952431,0.402564360734546,-0.0423920237821149,0,1.11769927735376,-0.105304959695795,-0.0788463800593514,0,0,1,0,1,1,1,1,0.325000000000015,0.325000000000015,-0.150000000000007,-0.100000000000004,0.60776003374636,0.60776003374636,1.01032439448091,0.967932370698791,8.99897622693996e-24,1.82657987145241e-23,1.66719691455758e-23,3.17022239357841e-06,2.33384506451269e-06,2.42120196965691e-06,10.1485653
A2p20_PW0p05us_Em0p95_Es0p20_tfe1p50em6_epi20p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,2.2,5e-08,0.95,0.2,1.5e-06,20,1e-07,-0.5,VGm0p8_to_2p2,0.148386776078469,0.525530629067029,0.491512038417222,0.148386776078469,0.525530629067029,0.491512038417222,0.343125262338753,0.37714385298856,-0.0340185906498074,0.301898558896559,1.06921212094694,-0.0902005703665526,-0.0960228935772565,0,0,1,0,1,1,1,1,0.305000000000014,0.130000000000006,-0.315000000000014,-0.275000000000012,0.624624186142203,0.773010962220672,1.15015481520923,1.11613622455943,1.21044749544139e-23,9.12344718487174e-24,1.62477632401616e-23,2.82525405252491e-06,2.04701363886938e-06,2.11632966669976e-06,10.459821
A2p20_PW0p02us_Em1p00_Es0p25_tfe1p50em6_epi24p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,2.2,2e-08,1,0.25,1.5e-06,24,1e-07,-0.5,VGm0p8_to_2p2,0.0175365703196859,0.342597227776435,0.346168067172153,0.0175365703196859,0.342597227776435,0.346168067172153,0.328631496852467,0.32506065745675,0.00357083939571767,0.0506591219200031,0.98968466552999,0.0109851478910295,-0.0566259408765491,0,0,1,0,1,1,1,1,0.210000000000009,0.185000000000008,-0.275000000000013,-0.280000000000013,0.684343271790828,0.701879842110514,1.02694049956726,1.03051133896298,5.85422376602489e-24,1.61412904143907e-23,3.15891363813482e-23,3.38146522442575e-06,2.61056970244092e-06,2.60225302913676e-06,10.0784363
A2p20_PW0p05us_Em1p00_Es0p25_tfe1p50em6_epi20p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,2.2,5e-08,1,0.25,1.5e-06,20,1e-07,-0.5,VGm0p8_to_2p2,0.093220620889177,0.427749418471462,0.41950243951529,0.093220620889177,0.427749418471462,0.41950243951529,0.326281818626113,0.334528797582285,-0.00824697895617166,0.222217112722605,1.01965895351098,-0.0246525232379826,-0.134594783777289,0,0,1,0,1,1,1,1,0.200000000000009,0.090000000000004,-0.305000000000014,-0.295000000000013,0.7136747673476,0.806895388236777,1.14142418581906,1.13317720686289,3.13854441322579e-23,1.64232154995803e-23,1.61623332408008e-23,2.75474558940427e-06,2.06432864064408e-06,2.08165305939898e-06,11.8795926
A2p20_PW0p02us_Em0p95_Es0p20_tfe1p50em6_epi24p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,2.2,2e-08,0.95,0.2,1.5e-06,24,1e-07,-0.5,VGm0p8_to_2p2,0.123723775928846,0.462677680487515,0.448619051817517,0.123723775928846,0.462677680487515,0.448619051817517,0.324895275888671,0.338953904558669,-0.0140586286699984,0.275788055428312,1.03133756494077,-0.0414765207921215,-0.152114767162187,0,0,1,0,1,1,1,1,0.325000000000014,0.150000000000007,-0.330000000000015,-0.310000000000014,0.603072023345233,0.726795799274079,1.06574970383275,1.05169107516275,3.14813820249364e-23,1.97389530994237e-23,1.72720594022635e-23,3.32246032263267e-06,2.51917365769368e-06,2.55238611195076e-06,9.1265633
A2p20_PW0p10us_Em1p00_Es0p25_tfe1p50em6_epi20p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,2.2,1e-07,1,0.25,1.5e-06,20,1e-07,-0.5,VGm0p8_to_2p2,0.156952248588459,0.500000000000022,0.474826585016443,0.156952248588459,0.500000000000022,0.474826585016443,0.317874336427984,0.343047751411563,-0.0251734149835794,0.33054646378535,1.05301601843272,-0.0733816644475777,-0.208995762051027,0,0,1,0,1,1,1,1,0.240000000000011,0.0550000000000024,-0.350000000000016,-0.320000000000014,0.679508860709787,0.836461109298246,1.17950886070981,1.15433544572623,6.82551442478711e-24,6.24815928848438e-23,9.38614747767237e-24,2.69312849185572e-06,1.98648709051827e-06,2.03835970773869e-06,14.2966468
A2p20_PW0p05us_Em0p95_Es0p20_tfe1p50em6_epi24p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,2.2,5e-08,0.95,0.2,1.5e-06,24,1e-07,-0.5,VGm0p8_to_2p2,0.148479134230643,0.497757037174253,0.466277951992741,0.148479134230643,0.497757037174253,0.466277951992741,0.317798817762098,0.349277902943611,-0.0314790851815125,0.31843481682135,1.06751141684264,-0.0901261858142647,-0.236453370387956,0,0,1,0,1,1,1,1,0.325000000000015,0.115000000000005,-0.380000000000017,-0.335000000000015,0.603072023345232,0.751551157575875,1.10082906051949,1.06934997533797,1.72618734763692e-23,1.66549917109823e-23,4.0615610199853e-24,3.26350639547706e-06,2.43625912477502e-06,2.51087464201116e-06,10.3807522
A2p20_PW0p50us_Em1p05_Es0p25_tfe1p50em6_epi20p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,2.2,5e-07,1.05,0.25,1.5e-06,20,1e-07,-0.5,VGm0p8_to_2p2,0.0805040239326007,0.419494209581963,0.393988834969182,0.0805040239326007,0.419494209581963,0.393988834969182,0.313484811036581,0.338990185649362,-0.0255053746127809,0.20433072408993,1.06473628780566,-0.0752392714966759,-0.27526023089521,0,0,1,0,1,1,1,1,0.250000000000011,0.155000000000007,-0.245000000000011,-0.21500000000001,0.671337743301912,0.751841767234513,1.09083195288388,1.06532657827109,9.22167643489435e-24,1.72342844186215e-23,1.65644150783501e-23,2.86936835192257e-06,2.16841225531976e-06,2.22057337489112e-06,21.2403125
