case_id,amp,pw,Ea_mean,Ea_sigma,tfe,epife_read,Iref,VFB_read,VG_name,dV1,dV10,dV100,A1,A10,A100,gradual,inc_1_10,inc_10_100,ratio1,ratio10,late_early_ratio,progress_score,is_invalid,is_weak_all,is_early_saturate,is_progressive,valid0,valid1,valid10,valid100,P0,P1,P10,P100,Vth0,Vth1,Vth10,Vth100,IDmin1,IDmin10,IDmin100,IDmax1,IDmax10,IDmax100,elapsed_s
A1p80_PW0p02us_Em1p10_Es0p15_tfe1p50em6_epi20p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.8,2e-08,1.1,0.15,1.5e-06,20,1e-07,-0.5,VGm0p8_to_2p2,0,-0.0252980180123842,-0.173800771999103,0,0.0252980180123842,0.173800771999103,0.173800771999103,0.0252980180123842,0.148502753986719,0,0.145557569862318,5.87013393357621,0.800667505202038,0,0,0,1,1,1,1,1,0.480000000000022,0.480000000000022,0.510000000000023,0.68500000000003,0.476298764072022,0.476298764072022,0.451000746059638,0.302497992072919,6.23656098808028e-23,1.54532922296229e-22,4.19438083259691e-21,3.44572070109268e-06,3.49916013612712e-06,3.81157085183521e-06,4.4309969
A1p80_PW0p05us_Em1p10_Es0p10_tfe1p50em6_epi20p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.8,5e-08,1.1,0.1,1.5e-06,20,1e-07,-0.5,VGm0p8_to_2p2,-0.00417083656828343,-0.0128816986276562,-0.114680900684125,0.00417083656828343,0.0128816986276562,0.114680900684125,0.110510064115841,0.00871086205937277,0.101799202056468,0.036369060091109,0.112326451491146,11.6864670066648,0.506033256387945,0,0,0,1,1,1,1,1,0.600000000000027,0.605000000000028,0.615000000000028,0.735000000000033,0.374664613716708,0.370493777148425,0.361782915089052,0.259983713032584,9.2342103669913e-22,1.04676330939884e-21,1.17320437157301e-20,3.66861548632935e-06,3.68647248367647e-06,3.90102952108083e-06,4.1855839
A1p80_PW0p02us_Em1p05_Es0p15_tfe1p50em6_epi20p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.8,2e-08,1.05,0.15,1.5e-06,20,1e-07,-0.5,VGm0p8_to_2p2,-0.0127341072672446,-0.0804882017011635,-0.216315051039438,0.0127341072672446,0.0804882017011635,0.216315051039438,0.203580943772193,0.0677540944339189,0.135826849338274,0.0588683367433502,0.372087847398512,2.00470319134362,0.486513921294645,0,0,0,1,1,1,1,1,0.480000000000022,0.495000000000022,0.575000000000026,0.735000000000033,0.476298764072022,0.463564656804778,0.395810562370859,0.259983713032585,6.20300287459602e-23,4.92329528651256e-22,1.16085485187224e-20,3.47243590918012e-06,3.61506646514189e-06,3.90102952108083e-06,4.3194722
A1p80_PW0p02us_Em1p05_Es0p10_tfe1p50em6_epi20p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.8,2e-08,1.05,0.1,1.5e-06,20,1e-07,-0.5,VGm0p8_to_2p2,-0.00411768240625576,-0.0548645460073274,-0.177854767404272,0.00411768240625576,0.0548645460073274,0.177854767404272,0.173737084998016,0.0507468636010716,0.122990221396945,0.0231519372033255,0.308479479116901,2.42360241932957,0.463757706503804,0,0,0,1,1,1,1,1,0.545000000000023,0.550000000000023,0.610000000000026,0.755000000000032,0.421064662437021,0.416946980030765,0.366200116429693,0.243209895032749,3.69407819234511e-22,9.23514289167199e-22,1.77895532359076e-20,3.57046793108265e-06,3.6775435318449e-06,3.93683603861531e-06,4.2162825
A1p80_PW0p05us_Em1p05_Es0p10_tfe1p50em6_epi20p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.8,5e-08,1.05,0.1,1.5e-06,20,1e-07,-0.5,VGm0p8_to_2p2,-0.0169457906970953,-0.0721586368373253,-0.20791540137699,0.0169457906970953,0.0721586368373253,0.20791540137699,0.190969610679895,0.05521284614023,0.135756764539665,0.0815032969412853,0.347057679995952,2.45878946712634,0.460413501872242,0,0,0,1,1,1,1,1,0.560000000000025,0.580000000000026,0.645000000000029,0.805000000000035,0.408619746135552,0.391673955438456,0.336461109298226,0.200704344758562,5.53875644202281e-22,1.84859918684918e-21,5.20469925856795e-20,3.62398899032374e-06,3.74006501267417e-06,4.0264081099541e-06,4.5866131
A1p80_PW0p02us_Em1p05_Es0p10_tfe1p00em6_epi20p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.8,2e-08,1.05,0.1,1e-06,20,1e-07,-0.5,VGm0p8_to_2p2,-0.00299850591940826,-0.0281319063804634,-0.129780011491198,0.00299850591940826,0.0281319063804634,0.129780011491198,0.126781505571789,0.0251334004610551,0.101648105110734,0.0231045280775894,0.216766095619982,4.04434351285815,0.412981173575945,0,0,0,1,1,1,1,1,0.565000000000025,0.570000000000025,0.615000000000027,0.795000000000035,0.462933479615284,0.459934973695876,0.434801573234821,0.333153468124086,9.60746812031733e-24,3.19313261280648e-23,3.69339996885573e-22,4.60067670185564e-06,4.67209951751151e-06,4.95821231086534e-06,4.209503
A1p80_PW0p20us_Em1p10_Es0p10_tfe1p50em6_epi24p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.8,2e-07,1.1,0.1,1.5e-06,24,1e-07,-0.5,VGm0p8_to_2p2,-0.00699761776373353,-0.049292794896563,-0.165945486609994,0.00699761776373353,0.049292794896563,0.165945486609994,0.15894786884626,0.0422951771328295,0.116652691713431,0.0421681716489185,0.29704209438616,2.75806131150791,0.403745105875848,0,0,0,1,1,1,1,1,0.580000000000026,0.590000000000026,0.650000000000029,0.815000000000036,0.422982931763712,0.415985313999979,0.373690136867149,0.257037445153719,1.23847810510259e-22,3.07793782587349e-22,5.55312144979196e-21,4.06749509222516e-06,4.16957596975443e-06,4.4508045798905e-06,6.4807816
A1p60_PW0p10us_Em1p00_Es0p20_tfe1p50em6_epi24p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.6,1e-07,1,0.2,1.5e-06,24,1e-07,-0.5,VGm0p8_to_2p2,0,0,-0.0459003055328693,0,0,0.0459003055328693,0.0459003055328693,0,0.0459003055328693,0,0,Inf,0.379501527664346,0,0,0,0,1,1,1,1,0.325000000000015,0.325000000000015,0.325000000000015,0.390000000000018,0.603072023345232,0.603072023345232,0.603072023345232,0.557171717812363,9.19101892066913e-24,9.19101892066913e-24,1.649006289097e-23,3.61796518151822e-06,3.61796518151822e-06,3.7280131611434e-06,5.1839844
A1p80_PW0p02us_Em1p10_Es0p10_tfe1p50em6_epi20p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.8,2e-08,1.1,0.1,1.5e-06,20,1e-07,-0.5,VGm0p8_to_2p2,0,-0.00417083656828127,-0.0634952708695684,0,0.00417083656828127,0.0634952708695684,0.0634952708695684,0.00417083656828127,0.0593244343012871,0,0.0656873576750145,14.223629559701,0.36894531783532,0,0,0,1,1,1,1,1,0.600000000000027,0.600000000000027,0.605000000000027,0.67500000000003,0.374664613716708,0.374664613716708,0.370493777148426,0.311169342847139,8.6178075743048e-22,8.61859634252521e-22,3.45335854152017e-21,3.65968835101529e-06,3.66861548632935e-06,3.79368921574851e-06,4.3147926
A1p80_PW0p10us_Em1p10_Es0p15_tfe1p50em6_epi24p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.8,1e-07,1.1,0.15,1.5e-06,24,1e-07,-0.5,VGm0p8_to_2p2,-0.0107326120191056,-0.0811898568560918,-0.20124545427604,0.0107326120191056,0.0811898568560918,0.20124545427604,0.190512842256935,0.0704572448369862,0.120055597419948,0.0533309537734162,0.403436972766237,1.70394964630984,0.366661511789408,0,0,0,1,1,1,1,1,0.480000000000021,0.495000000000022,0.595000000000026,0.765000000000033,0.493745246775363,0.483012634756258,0.412555389919272,0.292499792499323,3.13870868248349e-23,1.23725407454394e-22,2.21889254865013e-21,3.9060840955793e-06,4.07599787888847e-06,4.36550862690637e-06,5.2658464
A1p80_PW0p20us_Em1p10_Es0p10_tfe1p50em6_epi28p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.8,2e-07,1.1,0.1,1.5e-06,28,1e-07,-0.5,VGm0p8_to_2p2,-0.00312404706084946,-0.0243674277611222,-0.115000218532841,0.00312404706084946,0.0243674277611222,0.115000218532841,0.111876171471992,0.0212433807002728,0.0906327907717189,0.0271655749937319,0.211890273531641,4.26640147585149,0.348620010466008,0,0,0,1,1,1,1,1,0.610000000000027,0.615000000000027,0.650000000000028,0.800000000000035,0.427468055231968,0.424344008171119,0.403100627470846,0.312467836699127,6.24422967841532e-23,3.11985750469521e-23,8.00183741572914e-22,4.49357868385402e-06,4.55042762691742e-06,4.79437639170891e-06,6.329492
A1p60_PW0p50us_Em1p10_Es0p25_tfe1p50em6_epi28p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.6,5e-07,1.1,0.25,1.5e-06,28,1e-07,-0.5,VGm0p8_to_2p2,0,0,-0.0363187869807212,0,0,0.0363187869807212,0.0363187869807212,0,0.0363187869807212,0,0,Inf,0.331593934903606,0,0,0,0,1,1,1,1,0.245000000000011,0.245000000000011,0.245000000000011,0.305000000000013,0.648428755543168,0.648428755543168,0.648428755543168,0.612109968562447,1.66786700682087e-23,1.66786700682087e-23,3.63753518818331e-24,3.8945008421691e-06,3.8945008421691e-06,3.99139403667415e-06,10.8773933
A1p60_PW0p20us_Em1p00_Es0p20_tfe1p50em6_epi20p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.6,2e-07,1,0.2,1.5e-06,20,1e-07,-0.5,VGm0p8_to_2p2,0,0,-0.0339198038358461,0,0,0.0339198038358461,0.0339198038358461,0,0.0339198038358461,0,0,Inf,0.319599019179231,0,0,0,0,1,1,1,1,0.325000000000015,0.325000000000015,0.325000000000015,0.365000000000017,0.60776003374636,0.60776003374636,0.60776003374636,0.573840229910514,1.66644886250794e-23,1.66644886250794e-23,9.29576219464187e-24,3.17022239357841e-06,3.17022239357841e-06,3.24121721854626e-06,7.418454
A1p60_PW0p10us_Em1p00_Es0p20_tfe1p50em6_epi20p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.6,1e-07,1,0.2,1.5e-06,20,1e-07,-0.5,VGm0p8_to_2p2,0,0,-0.0293873776365734,0,0,0.0293873776365734,0.0293873776365734,0,0.0293873776365734,0,0,Inf,0.296936888182867,0,0,0,0,1,1,1,1,0.335000000000014,0.335000000000014,0.335000000000014,0.370000000000016,0.599032274885034,0.599032274885034,0.599032274885034,0.56964489724846,1.63424416525503e-23,1.63424416525503e-23,1.67493689985031e-23,3.18796417627103e-06,3.18796417627103e-06,3.25009670742113e-06,5.1932242
A1p80_PW0p05us_Em1p05_Es0p10_tfe1p00em6_epi20p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.8,5e-08,1.05,0.1,1e-06,20,1e-07,-0.5,VGm0p8_to_2p2,0,-0.0337083522042169,-0.124367864933846,0,0.0337083522042169,0.124367864933846,0.124367864933846,0.0337083522042169,0.0906595127296296,0,0.271037475976185,2.68952668408064,0.295968911227373,0,0,0,1,1,1,1,1,0.565000000000025,0.565000000000025,0.625000000000028,0.785000000000035,0.462933479615284,0.462933479615284,0.429225127411067,0.338565614681438,1.71690957589834e-23,3.28157865021893e-23,3.0786311874114e-22,4.59274355918225e-06,4.68797717728524e-06,4.94230021122667e-06,4.223463
A1p60_PW0p10us_Em1p00_Es0p20_tfe1p50em6_epi28p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.6,1e-07,1,0.2,1.5e-06,28,1e-07,-0.5,VGm0p8_to_2p2,0,0,-0.0275650302541882,0,0,0.0275650302541882,0.0275650302541882,0,0.0275650302541882,0,0,Inf,0.287825151270941,0,0,0,0,1,1,1,1,0.345000000000016,0.345000000000016,0.345000000000016,0.390000000000018,0.587887638049902,0.587887638049902,0.587887638049902,0.560322607795714,1.66521344133577e-23,1.66521344133577e-23,1.6342846121119e-23,4.05604771344861e-06,4.05604771344861e-06,4.1288368849986e-06,5.1886361
A1p60_PW0p20us_Em0p95_Es0p15_tfe8p00em7_epi20p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.6,2e-07,0.95,0.15,8e-07,20,1e-07,-0.5,VGm0p8_to_2p2,0,0,-0.0270883850470941,0,0,0.0270883850470941,0.0270883850470941,0,0.0270883850470941,0,0,Inf,0.285441925235471,0,0,0,0,1,1,1,1,0.415000000000019,0.415000000000019,0.415000000000019,0.475000000000021,0.554352633650766,0.554352633650766,0.554352633650766,0.527264248603672,6.14821338526854e-24,6.14821338526854e-24,3.1473747856432e-23,4.98146749259392e-06,4.98146749259392e-06,5.06919404738943e-06,5.9290999
