case_id,amp,pw,Ea_mean,Ea_sigma,P0,Vth0,dV1,dV100,gradual,dP100,idmin0,idmax0,valid0,valid_ratio,elapsed_s
A1p80_PW2p00e-01us_Em0p50_Es0p40,1.8,2e-07,0.5,0.4,-4.33680868994221e-17,0.695750375506526,-0.0031279770880055,-0.00155399800485134,0.00157397908315415,0.00500000000000022,3.11784619773039e-23,3.51808184152376e-06,1,1,69.6728197
A1p80_PW2p00e-01us_Em0p50_Es0p60,1.8,2e-07,0.5,0.6,-0.00500000000000032,0.697284688015849,-0.011163450233604,-0.00787130474879738,0.00329214548480661,0.0250000000000012,6.18364515164495e-23,3.51191618865581e-06,1,1,60.2933899
A1p80_PW2p00e-01us_Em0p50_Es0p80,1.8,2e-07,0.5,0.8,-0.0100000000000005,0.698799624477028,-0.0126783866947822,-0.0110218002718171,0.00165658642296507,0.0350000000000015,3.19989761666105e-23,3.50575120303195e-06,1,1,61.7198545
A1p80_PW2p00e-01us_Em0p70_Es0p40,1.8,2e-07,0.7,0.4,-6.50521303491332e-17,0.695750375506526,0,-4.44089209850063e-16,4.44089209850063e-16,3.25260651745666e-16,1.67011169038519e-23,3.51808184152376e-06,1,1,57.2394946
A1p80_PW2p00e-01us_Em0p70_Es0p60,1.8,2e-07,0.7,0.6,-0.00500000000000002,0.697284688015849,-0.00625653159881767,-0.00466228959732917,0.0015942420014885,0.0150000000000003,3.19118978267888e-23,3.51191618865581e-06,1,1,59.4359408
A1p80_PW2p00e-01us_Em0p70_Es0p80,1.8,2e-07,0.7,0.8,-0.00500000000000024,0.697284688015849,-0.00950686381063892,-0.00950686381063892,0,0.0300000000000014,6.24259135159053e-23,3.51191618865581e-06,1,1,58.2424356
A1p80_PW2p00e-01us_Em0p90_Es0p40,1.8,2e-07,0.9,0.4,-0.0750000000000034,0.71971435869501,-0.0255179811933357,-0.0239639831884844,0.00155399800485134,0.0750000000000035,3.20551922176267e-23,3.42566801693405e-06,1,1,43.5515635
A1p80_PW2p00e-01us_Em0p90_Es0p60,1.8,2e-07,0.9,0.6,-0.125000000000005,0.736089602692928,-0.0403392271864024,-0.0403392271864019,4.44089209850063e-16,0.125000000000005,3.18480978911161e-23,3.36414533209619e-06,1,1,57.792694
A1p80_PW2p00e-01us_Em0p90_Es0p80,1.8,2e-07,0.9,0.8,-0.0300000000000012,0.705469419884065,-0.0112730423823907,-0.0112730423823907,0,0.0350000000000014,5.53391298671187e-24,3.48109797249654e-06,1,1,58.8489656
A1p80_PW5p00e-01us_Em0p50_Es0p40,1.8,5e-07,0.5,0.4,0,0.695750375506526,-0.0031279770880055,-0.00155399800485134,0.00157397908315415,0.00500000000000019,3.11784619773039e-23,3.51808184152376e-06,1,1,71.5162833
A1p80_PW5p00e-01us_Em0p50_Es0p60,1.8,5e-07,0.5,0.6,-0.00500000000000002,0.697284688015849,-0.00950686381063892,-0.00787130474879738,0.00163555906184154,0.0250000000000009,3.19118978267888e-23,3.51191618865581e-06,1,1,70.3391825
A1p80_PW5p00e-01us_Em0p50_Es0p80,1.8,5e-07,0.5,0.8,-0.0100000000000004,0.698799624477028,-0.0126783866947822,-0.0110218002718171,0.00165658642296507,0.0350000000000014,3.19989761666105e-23,3.50575120303195e-06,1,1,71.4089729
A1p80_PW5p00e-01us_Em0p70_Es0p40,1.8,5e-07,0.7,0.4,-0.0300000000000008,0.705469419884065,-0.00971904437753979,-0.00971904437753934,4.44089209850063e-16,0.0300000000000009,1.74648239482557e-23,3.48109797249654e-06,1,1,66.7650965
A1p80_PW5p00e-01us_Em0p70_Es0p60,1.8,5e-07,0.7,0.6,-0.00500000000000032,0.697284688015849,-0.00466228959732917,-0.00466228959732917,0,0.0150000000000006,6.18364515164495e-23,3.51191618865581e-06,1,1,69.8518208
A1p80_PW5p00e-01us_Em0p70_Es0p80,1.8,5e-07,0.7,0.8,-0.00500000000000028,0.697284688015849,-0.00950686381063892,-0.00787130474879705,0.00163555906184187,0.0250000000000011,6.24259135159053e-23,3.51191618865581e-06,1,1,68.5650789
A1p80_PW5p00e-01us_Em0p90_Es0p40,1.8,5e-07,0.9,0.4,-0.0850000000000034,0.723119784235284,-0.0289234067336096,-0.0273694087287583,0.00155399800485134,0.085000000000004,3.22576081639797e-23,3.41335784761635e-06,1,1,48.3055022
A1p80_PW5p00e-01us_Em0p90_Es0p60,1.8,5e-07,0.9,0.6,-0.110000000000004,0.73138064208093,-0.0356302665744044,-0.0356302665744044,0,0.110000000000005,1.64569489410287e-23,3.38259470779911e-06,1,1,68.9569678
A1p80_PW5p00e-01us_Em0p90_Es0p80,1.8,5e-07,0.9,0.8,-0.020000000000001,0.70207548670175,-0.00787910920007606,-0.00787910920007606,0,0.0250000000000011,1.71649140271561e-23,3.49342324140349e-06,1,1,67.0841315
A1p80_PW1p00e+00us_Em0p50_Es0p40,1.8,1e-06,0.5,0.4,0,0.695750375506526,-0.0031279770880055,-0.00155399800485134,0.00157397908315415,0.00500000000000026,3.11784619773039e-23,3.51808184152376e-06,1,1,83.0418819
A1p80_PW1p00e+00us_Em0p50_Es0p60,1.8,1e-06,0.5,0.6,-0.00500000000000024,0.697284688015849,-0.00950686381063892,-0.00787130474879738,0.00163555906184154,0.0250000000000012,6.24259135159053e-23,3.51191618865581e-06,1,1,79.6137218
A1p80_PW1p00e+00us_Em0p50_Es0p80,1.8,1e-06,0.5,0.8,-0.0100000000000005,0.698799624477028,-0.0126783866947822,-0.0110218002718171,0.00165658642296507,0.0350000000000017,3.12499255074891e-23,3.50575120303195e-06,1,1,89.0491202
A1p80_PW1p00e+00us_Em0p70_Es0p40,1.8,1e-06,0.7,0.4,-0.00500000000000011,0.697284688015849,-0.00153431250932412,-0.00153431250932412,0,0.00500000000000067,3.19118978267888e-23,3.51191618865581e-06,1,1,82.3193968
A1p80_PW1p00e+00us_Em0p70_Es0p60,1.8,1e-06,0.7,0.6,-0.0050000000000003,0.697284688015849,-0.00466228959732917,-0.00466228959732917,0,0.0150000000000007,6.24259135159053e-23,3.51191618865581e-06,1,1,84.1743399
A1p80_PW1p00e+00us_Em0p70_Es0p80,1.8,1e-06,0.7,0.8,-0.00500000000000017,0.697284688015849,-0.00787130474879738,-0.00787130474879738,0,0.0250000000000012,3.19118978267888e-23,3.51191618865581e-06,1,1,78.064881
A1p80_PW1p00e+00us_Em0p90_Es0p40,1.8,1e-06,0.9,0.4,-0.115000000000005,0.732970402753516,-0.0387740252518411,-0.0372200272469903,0.0015539980048509,0.115000000000005,1.84254968615362e-23,3.37644420258365e-06,1,1,63.7952604
A1p80_PW1p00e+00us_Em0p90_Es0p60,1.8,1e-06,0.9,0.6,-0.135000000000006,0.739130342079333,-0.0449339645776586,-0.0433799665728073,0.00155399800485134,0.135000000000006,1.69391878653279e-23,3.35184932935398e-06,1,1,89.6156731
A1p80_PW1p00e+00us_Em0p90_Es0p80,1.8,1e-06,0.9,0.8,-0.0100000000000003,0.698799624477028,-0.00460324697535364,-0.00460324697535364,0,0.0150000000000005,3.19989761666105e-23,3.50575120303195e-06,1,1,86.1846146
A1p80_PW2p00e+00us_Em0p50_Es0p40,1.8,2e-06,0.5,0.4,8.67361737988442e-17,0.695750375506526,-0.0031279770880055,-0.00155399800485134,0.00157397908315415,0.00500000000000004,1.89477361167604e-23,3.51808184152376e-06,1,1,102.1922407
A1p80_PW2p00e+00us_Em0p50_Es0p60,1.8,2e-06,0.5,0.6,-0.0049999999999997,0.697284688015849,-0.00787130474879738,-0.00787130474879738,0,0.0250000000000006,3.19118978267888e-23,3.51191618865581e-06,1,1,110.9216487
A1p80_PW2p00e+00us_Em0p50_Es0p80,1.8,2e-06,0.5,0.8,-0.0100000000000003,0.698799624477028,-0.0126783866947826,-0.0110218002718175,0.00165658642296507,0.0350000000000012,3.19989761666105e-23,3.50575120303195e-06,1,1,104.9341103
A1p80_PW2p00e+00us_Em0p70_Es0p40,1.8,2e-06,0.7,0.4,-0.0150000000000005,0.700345995343583,-0.00459561983705692,-0.00459561983705692,0,0.0150000000000005,3.20924289304768e-23,3.49958688662184e-06,1,1,107.7933912
A1p80_PW2p00e+00us_Em0p70_Es0p60,1.8,2e-06,0.7,0.6,-0.00500000000000015,0.697284688015849,-0.00466228959732917,-0.00466228959732917,0,0.0150000000000006,3.19118978267888e-23,3.51191618865581e-06,1,1,115.3276736
A1p80_PW2p00e+00us_Em0p70_Es0p80,1.8,2e-06,0.7,0.8,-0.00500000000000045,0.697284688015849,-0.00787130474879705,-0.00787130474879705,0,0.0250000000000012,9.64810003864081e-24,3.51191618865581e-06,1,1,108.6038126
