case_id,amp,pw,Ea_mean,Ea_sigma,P0,Vth0,idmin0,idmax0,valid0,dV1,dV100,gradual,dP1,dP100,valid_ratio,is_small_all,is_fast_sat,is_good_prog,elapsed_s
A1p80_PW2p00e-01us_Em0p75_Es0p20,1.8,2e-07,0.75,0.2,0.190000000000009,0.634461958868446,3.17675250944985e-23,3.75285243172662e-06,1,0.0178114544375896,0.114674852614268,0.0968633981766789,-0.0550000000000025,-0.355000000000016,1,0,0,1,30.4380625
A1p80_PW2p00e-01us_Em0p75_Es0p30,1.8,2e-07,0.75,0.3,6.50521303491332e-17,0.695750375506526,3.18307237614262e-23,3.51808184152376e-06,1,0,0,0,2.16840434497111e-17,-3.25260651745666e-16,1,1,0,0,47.3053289
A1p80_PW2p00e-01us_Em0p75_Es0p40,1.8,2e-07,0.75,0.4,-0.0350000000000014,0.707134269577096,1.76370137646553e-23,3.47493635280651e-06,1,-0.0113838940705701,-0.0113838940705705,4.44089209850063e-16,0.0350000000000015,0.0350000000000018,1,1,0,0,58.4742402
A1p80_PW2p00e-01us_Em0p75_Es0p50,1.8,2e-07,0.75,0.5,-0.0150000000000006,0.700345995343583,3.20924289304768e-23,3.49958688662184e-06,1,-0.00459561983705692,-0.00459561983705692,0,0.0150000000000005,0.0150000000000005,1,1,0,0,70.7409348
A1p80_PW2p00e-01us_Em0p75_Es0p60,1.8,2e-07,0.75,0.6,3.90312782094799e-16,0.695750375506525,1.67011169038518e-23,3.51808184152376e-06,1,4.44089209850063e-16,4.44089209850063e-16,0,-5.85469173142199e-16,-5.42101086242777e-16,1,1,0,0,67.9788776
A1p80_PW2p00e-01us_Em0p75_Es0p70,1.8,2e-07,0.75,0.7,-0.00500000000000026,0.697284688015849,6.24259135159053e-23,3.51191618865581e-06,1,-0.00625653159881767,-0.00466228959732917,0.0015942420014885,0.020000000000001,0.0150000000000008,1,1,0,0,62.8178715
A1p80_PW2p00e-01us_Em0p80_Es0p20,1.8,2e-07,0.8,0.2,0.22000000000001,0.62473013787004,6.2808591353082e-23,3.79000266374213e-06,1,-0.022740607608097,0.0773453488317108,0.100085956439808,0.0700000000000032,-0.240000000000011,1,0,0,0,31.1313212
A1p80_PW2p00e-01us_Em0p80_Es0p30,1.8,2e-07,0.8,0.3,0.0300000000000012,0.686121237782245,1.75300328868883e-23,3.55508966160608e-06,1,0.0274636804629527,0.0305673904995153,0.00310371003656262,-0.0850000000000037,-0.0950000000000043,1,1,0,0,27.0791503
A1p80_PW2p00e-01us_Em0p80_Es0p40,1.8,2e-07,0.8,0.4,-0.0650000000000026,0.716688628281761,1.67622814283347e-23,3.43798096866603e-06,1,-0.0209382527752355,-0.0209382527752355,0,0.0650000000000028,0.0650000000000028,1,1,0,0,65.9700581
A1p80_PW2p00e-01us_Em0p80_Es0p50,1.8,2e-07,0.8,0.5,-0.0650000000000031,0.716688628281761,1.67622814283347e-23,3.43798096866603e-06,1,-0.0224922507800863,-0.0224922507800863,0,0.0700000000000032,0.0700000000000034,1,1,0,0,55.2199862
