amp_V,P0,Vth0_V,dV_N1_V,dV_N100_V,gradual_metric_V,valid_ratio
0.2,-0.160000000000007,0.747497694439763,0,0,0,1
0.3,-0.200000000000009,0.760049805375835,0,0,0,1
0.5,-0.185000000000008,0.755487592964115,0,0,0,1
0.65,-0.185000000000009,0.755487592964115,0,0,0,1
0.8,-0.180000000000008,0.753930218649596,0,0,0,1
1,-0.155000000000007,0.745837510301897,0,0,0,1
1.2,-0.160000000000007,0.747497694439763,0,0,0,1
1.5,-0.200000000000009,0.760049805375835,-0.00611958672623902,-0.0464648871306372,0.0403453004043982,1
2,-0.180000000000008,0.753930218649596,-0.0581798431430706,-0.0581798431430706,0,1
2.5,-0.175000000000008,0.75235281437794,-0.0566024388714143,-0.0566024388714143,0,1
