case_id,amp,pw,Ea_mean,Ea_sigma,tfe,epife_read,Iref,VFB_read,VG_name,dV1,dV3,dV10,dV30,dV100,dV300,dV1000,dV3000,A1,A3,A10,A30,A100,A300,A1000,A3000,ratio1,ratio10,ratio100,g1_1_10,g2_10_100,g3_100_1000,g4_1000_3000,A1e6_pred,is_mono,trend_good,score,Nread_str,Avec_str,elapsed_s
A1p80_PW0p02us_Em1p00_Es0p18_tfe1p20em6_epi22p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.8,2e-08,1,0.18,1.2e-06,22,1e-07,-0.5,VGm0p8_to_2p2,-0.0514260912859265,-0.082299759300517,-0.143742017209197,-0.164572281772824,-0.143757169794551,-0.174478177184129,-0.19539133897404,-0.236430786439949,0.0514260912859265,0.082299759300517,0.143742017209197,0.164572281772824,0.143757169794551,0.174478177184129,0.19539133897404,0.236430786439949,0.217510130809416,0.607966582413354,0.608030671297811,0.0923159259232708,1.51525853540613e-05,0.0516341691794884,0.041039447465909,0.410034538032403,0,0,-2.63914261397954,[1 3 10 30 100 300 1000 3000],[0.0514261 0.0822998 0.143742 0.164572 0.143757 0.174478 0.195391 0.236431],122.5100846
A1p80_PW0p02us_Em0p95_Es0p18_tfe1p20em6_epi22p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.8,2e-08,0.95,0.18,1.2e-06,22,1e-07,-0.5,VGm0p8_to_2p2,-0.0822819587297332,-0.113199899219946,-0.14401680994616,-0.15395450461241,-0.153954504612411,-0.195067094242941,-0.195410191286108,-0.236164519168925,0.0822819587297332,0.113199899219946,0.14401680994616,0.15395450461241,0.153954504612411,0.195067094242941,0.195410191286108,0.236164519168925,0.34840948597735,0.609815608428238,0.651895149848017,0.0617348512164271,0.00993769466625105,0.041455686673697,0.0407543278828167,0.408562167065212,1,0,0.152397374960145,[1 3 10 30 100 300 1000 3000],[0.082282 0.1132 0.144017 0.153955 0.153955 0.195067 0.19541 0.236165],143.8966671
A1p80_PW0p05us_Em1p00_Es0p20_tfe1p20em6_epi22p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.8,5e-08,1,0.2,1.2e-06,22,1e-07,-0.5,VGm0p8_to_2p2,-0.071827145743085,-0.0717945530090658,-0.10286913638987,-0.184811218808983,-0.185139439424866,-0.154374946954964,-0.195067094242941,-0.226211527313556,0.071827145743085,0.0717945530090658,0.10286913638987,0.184811218808983,0.185139439424866,0.154374946954964,0.195067094242941,0.226211527313556,0.317522040525919,0.454747543644322,0.818435035665715,0.0310419906467851,0.0822703030349961,0.00992765481807478,0.0311444330706153,0.357957707053678,0,0,-2.48051201706071,[1 3 10 30 100 300 1000 3000],[0.0718271 0.0717946 0.102869 0.184811 0.185139 0.154375 0.195067 0.226212],166.7373801
A1p75_PW0p03us_Em1p00_Es0p18_tfe1p20em6_epi22p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.75,3e-08,1,0.18,1.2e-06,22,1e-07,-0.5,VGm0p8_to_2p2,-0.030900139919429,-0.102846899935215,-0.0821253158391403,-0.113304820094544,-0.133780415124195,-0.154374946954963,-0.174882093638175,-0.226155831443939,0.030900139919429,0.102846899935215,0.0821253158391403,0.113304820094544,0.133780415124195,0.154374946954963,0.174882093638175,0.226155831443939,0.136632072328804,0.36313596388293,0.591540860432587,0.0512251759197114,0.0516550992850545,0.0411016785139799,0.0512737378057643,0.443052349084504,0,0,-1.92976432489096,[1 3 10 30 100 300 1000 3000],[0.0309001 0.102847 0.0821253 0.113305 0.13378 0.154375 0.174882 0.226156],125.2303467
A1p75_PW0p05us_Em1p00_Es0p20_tfe1p20em6_epi22p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.75,5e-08,1,0.2,1.2e-06,22,1e-07,-0.5,VGm0p8_to_2p2,-0.0309001399194282,-0.072045563907767,-0.113147567692041,-0.133437339481064,-0.143726896025594,-0.164599561304539,-0.153954504612411,-0.215952805976058,0.0309001399194282,0.072045563907767,0.113147567692041,0.133437339481064,0.143726896025594,0.164599561304539,0.153954504612411,0.215952805976058,0.143087466633121,0.523945809273648,0.665547712501261,0.082247427772613,0.0305793283335533,0.0102276085868163,0.0619983013636478,0.478216027673419,0,0,-5.32404918087961,[1 3 10 30 100 300 1000 3000],[0.0309001 0.0720456 0.113148 0.133437 0.143727 0.1646 0.153955 0.215953],143.6321548
A1p75_PW0p05us_Em0p95_Es0p18_tfe1p20em6_epi22p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.75,5e-08,0.95,0.18,1.2e-06,22,1e-07,-0.5,VGm0p8_to_2p2,-0.072045563907767,-0.0926216163255437,-0.113199899219946,-0.123449652294121,-0.18516450251002,-0.164285267442485,-0.154374946954964,-0.215936142652607,0.072045563907767,0.0926216163255437,0.113199899219946,0.123449652294121,0.18516450251002,0.164285267442485,0.154374946954964,0.215936142652607,0.333642914163157,0.524228588273243,0.857496573919581,0.0411543353121789,0.0719646032900746,-0.0307895555550566,0.0615611956976432,0.476350334010956,0,0,-4.5798666270697,[1 3 10 30 100 300 1000 3000],[0.0720456 0.0926216 0.1132 0.12345 0.185165 0.164285 0.154375 0.215936],158.2952251
A1p80_PW0p03us_Em1p00_Es0p20_tfe1p20em6_epi22p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.8,3e-08,1,0.2,1.2e-06,22,1e-07,-0.5,VGm0p8_to_2p2,-0.0514260912859265,-0.0821167022876168,-0.133725850586443,-0.133780415124195,-0.184830699420974,-0.205356650787472,-0.205646586108076,-0.215936142652607,0.0514260912859265,0.0821167022876168,0.133725850586443,0.133780415124195,0.184830699420974,0.205356650787472,0.205646586108076,0.215936142652607,0.238154162865916,0.619284242756797,0.855950732241828,0.0822997593005168,0.0511048488345311,0.0208158866871012,0.010289556544531,0.259462694023386,1,0,-0.0550754575709226,[1 3 10 30 100 300 1000 3000],[0.0514261 0.0821167 0.133726 0.13378 0.184831 0.205357 0.205647 0.215936],154.6769659
A1p75_PW0p05us_Em1p00_Es0p18_tfe1p20em6_epi22p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.75,5e-08,1,0.18,1.2e-06,22,1e-07,-0.5,VGm0p8_to_2p2,-0.0307275835579535,-0.0720455639077668,-0.0822997593005159,-0.143757169794551,-0.133844698214871,-0.205646586108075,-0.174903044602898,-0.215936142652606,0.0307275835579535,0.0720455639077668,0.0822997593005159,0.143757169794551,0.133844698214871,0.205646586108075,0.174903044602898,0.215936142652606,0.142299400093422,0.381130079890879,0.619834625971797,0.0515721757425625,0.0515449389143547,0.0410583463880277,0.0410330980497076,0.389513035148727,0,0,-2.58237665156618,[1 3 10 30 100 300 1000 3000],[0.0307276 0.0720456 0.0822998 0.143757 0.133845 0.205647 0.174903 0.215936],142.0320741
A1p80_PW0p05us_Em1p00_Es0p18_tfe1p20em6_epi22p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.8,5e-08,1,0.18,1.2e-06,22,1e-07,-0.5,VGm0p8_to_2p2,-0.0822908534954681,-0.0926718015720115,-0.133835068834637,-0.143772353032946,-0.195047554273484,-0.185079428456034,-0.225928124346959,-0.215597361516884,0.0822908534954681,0.0926718015720115,0.133835068834637,0.143772353032946,0.195047554273484,0.185079428456034,0.225928124346959,0.215597361516884,0.381687664990388,0.620763945778419,0.904684328700418,0.0515442153391693,0.0612124854388462,0.0308805700734749,-0.0103307628300744,0.215597361516884,0,0,-0.092138699551944,[1 3 10 30 100 300 1000 3000],[0.0822909 0.0926718 0.133835 0.143772 0.195048 0.185079 0.225928 0.215597],148.906518
A1p80_PW0p02us_Em0p95_Es0p20_tfe1p20em6_epi22p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.8,2e-08,0.95,0.2,1.2e-06,22,1e-07,-0.5,VGm0p8_to_2p2,-0.061584297754526,-0.133489379710378,-0.123436294041912,-0.14401680994616,-0.164250706032257,-0.164267968575695,-0.144016809946161,-0.205704380630346,0.061584297754526,0.133489379710378,0.123436294041912,0.14401680994616,0.164250706032257,0.164267968575695,0.144016809946161,0.205704380630346,0.299382529267541,0.600066433508428,0.79847937865464,0.0618519962873862,0.0408144119903444,-0.0202338960860955,0.0616875706841854,0.466653159394859,0,0,-7.60336141756069,[1 3 10 30 100 300 1000 3000],[0.0615843 0.133489 0.123436 0.144017 0.164251 0.164268 0.144017 0.205704],158.9229515
