case_id,amp,pw,Ea_mean,Ea_sigma,tfe,epife_read,Iref,VFB_read,VG_name,dV1,dV3,dV10,dV30,dV100,dV300,dV1000,dV3000,A1,A3,A10,A30,A100,A300,A1000,A3000,ratio1,ratio10,ratio100,g1_1_10,g2_10_100,g3_100_1000,g4_1000_3000,A1e6_pred,is_mono,trend_good,score,Nread_str,Avec_str,elapsed_s
A1p70_PW0p02us_Em1p00_Es0p18_tfe1p20em6_epi22p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.7,2e-08,1,0.18,1.2e-06,22,1e-07,-0.5,VGm0p8_to_2p2,0,0,-0.0307275835579551,-0.0512599880910437,-0.0923312827960335,-0.113199899219946,-0.154363166482573,-0.195428995969396,0,0,0.0307275835579551,0.0512599880910437,0.0923312827960335,0.113199899219946,0.154363166482573,0.195428995969396,0,0.157231445648766,0.472454368084112,0.0307275835579551,0.0616036992380784,0.0620318836865393,0.0410658294868235,0.36914434793876,1,1,6.31893004387868,[1 3 10 30 100 300 1000 3000],[0 0 0.0307276 0.05126 0.0923313 0.1132 0.154363 0.195429],103.4293832
A1p65_PW0p02us_Em0p95_Es0p20_tfe1p20em6_epi22p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.65,2e-08,0.95,0.2,1.2e-06,22,1e-07,-0.5,VGm0p8_to_2p2,0,0,-0.0205259513664975,-0.0411320988575233,-0.051329433675382,-0.0514717393436108,-0.112926651866588,-0.164563963091184,0,0,0.0205259513664975,0.0411320988575233,0.051329433675382,0.0514717393436108,0.112926651866588,0.164563963091184,0,0.124729320933552,0.311911749761037,0.0205259513664975,0.0308034823088845,0.0615972181912059,0.0516373112245961,0.382998457322222,1,1,6.28528445833929,[1 3 10 30 100 300 1000 3000],[0 0 0.020526 0.0411321 0.0513294 0.0514717 0.112927 0.164564],122.5459488
A1p70_PW0p02us_Em1p00_Es0p20_tfe1p20em6_epi22p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.7,2e-08,1,0.2,1.2e-06,22,1e-07,-0.5,VGm0p8_to_2p2,0,0,-0.0205671576520403,-0.071827145743085,-0.10285801114751,-0.123187996992606,-0.144016809946161,-0.144032403652499,0,0,0.0205671576520403,0.071827145743085,0.10285801114751,0.123187996992606,0.144016809946161,0.144032403652499,0,0.142795351118779,0.714131046480841,0.0205671576520403,0.0822908534954696,0.0411587987986512,1.55937063377465e-05,0.14409836764784,1,1,5.92028408498533,[1 3 10 30 100 300 1000 3000],[0 0 0.0205672 0.0718271 0.102858 0.123188 0.144017 0.144032],119.1520034
A1p70_PW0p02us_Em0p95_Es0p18_tfe1p20em6_epi22p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.7,2e-08,0.95,0.18,1.2e-06,22,1e-07,-0.5,VGm0p8_to_2p2,0,-0.0411276690492719,-0.0410626532731844,-0.0821167022876169,-0.102869136389871,-0.133411254379123,-0.18516450251002,-0.153954504612412,0,0.0411276690492719,0.0410626532731844,0.0821167022876169,0.102869136389871,0.133411254379123,0.18516450251002,0.153954504612412,0,0.266719401141017,0.668178801580699,0.0410626532731844,0.0618064831166871,0.082295366120149,-0.0312099978976088,0.153954504612412,0,0,0.805183289549558,[1 3 10 30 100 300 1000 3000],[0 0.0411277 0.0410627 0.0821167 0.102869 0.133411 0.185165 0.153955],122.330114
A1p65_PW0p03us_Em0p95_Es0p20_tfe1p20em6_epi22p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.65,3e-08,0.95,0.2,1.2e-06,22,1e-07,-0.5,VGm0p8_to_2p2,0.0102753846609501,-0.0205259513664975,-0.0205259513664975,-0.0615842977545266,-0.112954814792357,-0.113095325280927,-0.123409627779005,-0.144001235247393,0.0102753846609501,0.0205259513664975,0.0205259513664975,0.0615842977545266,0.112954814792357,0.113095325280927,0.123409627779005,0.144001235247393,0.0713562258219319,0.142540106209742,0.784401707376336,0.0102505667055474,0.0924288634258592,0.0104548129866482,0.0205916074683884,0.231107191310787,1,0,0.699704336942873,[1 3 10 30 100 300 1000 3000],[0.0102754 0.020526 0.020526 0.0615843 0.112955 0.113095 0.12341 0.144001],121.9810672
A1p70_PW0p03us_Em1p00_Es0p18_tfe1p20em6_epi22p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.7,3e-08,1,0.18,1.2e-06,22,1e-07,-0.5,VGm0p8_to_2p2,0,0,-0.030900139919429,-0.0720935186776082,-0.0926216163255437,-0.102880275204765,-0.164599561304539,-0.133385127523056,0,0,0.030900139919429,0.0720935186776082,0.0926216163255437,0.102880275204765,0.164599561304539,0.133385127523056,0,0.231661059169342,0.694392381261047,0.030900139919429,0.0617214764061147,0.0719779449789955,-0.0312144337814826,0.133385127523056,0,0,0.675991918799024,[1 3 10 30 100 300 1000 3000],[0 0 0.0309001 0.0720935 0.0926216 0.10288 0.1646 0.133385],107.2220992
A1p65_PW0p03us_Em0p95_Es0p18_tfe1p20em6_epi22p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.65,3e-08,0.95,0.18,1.2e-06,22,1e-07,-0.5,VGm0p8_to_2p2,0,-0.0102363948219664,-0.0205259513664976,-0.0617081341655779,-0.0717945530090658,-0.0822908534954696,-0.133725850586443,-0.123463026563144,0,0.0102363948219664,0.0205259513664976,0.0617081341655779,0.0717945530090658,0.0822908534954696,0.133725850586443,0.123463026563144,0,0.166251807831714,0.581506504478466,0.0205259513664976,0.0512686016425682,0.0619312975773776,-0.0102628240232995,0.123463026563144,0,0,0.576655663765392,[1 3 10 30 100 300 1000 3000],[0 0.0102364 0.020526 0.0617081 0.0717946 0.0822909 0.133726 0.123463],111.8316471
A1p65_PW0p05us_Em1p00_Es0p20_tfe1p20em6_epi22p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.65,5e-08,1,0.2,1.2e-06,22,1e-07,-0.5,VGm0p8_to_2p2,0,-0.0102484253457126,-0.0102484253457129,-0.0411320988575223,-0.0512947412099957,-0.102651267205638,-0.113147567692041,-0.102869136389872,0,0.0102484253457126,0.0102484253457129,0.0411320988575223,0.0512947412099957,0.102651267205638,0.113147567692041,0.102869136389872,0,0.0996258518869216,0.498640729475843,0.0102484253457129,0.0410463158642828,0.0618528264820455,-0.0102784313021693,0.102869136389872,0,0,0.550080042430852,[1 3 10 30 100 300 1000 3000],[0 0.0102484 0.0102484 0.0411321 0.0512947 0.102651 0.113148 0.102869],114.2183714
A1p70_PW0p02us_Em0p95_Es0p20_tfe1p20em6_epi22p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.7,2e-08,0.95,0.2,1.2e-06,22,1e-07,-0.5,VGm0p8_to_2p2,-0.0205259513664975,-0.0102753846609498,-0.0615907509211195,-0.0925715152742644,-0.123175077212301,-0.133463381653556,-0.185144478995433,-0.174830176497355,0.0205259513664975,0.0102753846609498,0.0615907509211195,0.0925715152742644,0.123175077212301,0.133463381653556,0.185144478995433,0.174830176497355,0.11740508290803,0.352289016433336,0.704541285034763,0.0410647995546221,0.0615843262911811,0.0619694017831323,-0.0103143024980783,0.174830176497355,0,0,0.508868515445486,[1 3 10 30 100 300 1000 3000],[0.020526 0.0102754 0.0615908 0.0925715 0.123175 0.133463 0.185144 0.17483],133.5239233
A1p65_PW0p03us_Em1p00_Es0p18_tfe1p20em6_epi22p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.65,3e-08,1,0.18,1.2e-06,22,1e-07,-0.5,VGm0p8_to_2p2,0,-0.0101973348178598,0,-0.0205280976479355,-0.0512251759197114,-0.071827145743085,-0.0923312827960336,-0.12344965229412,0,0.0101973348178598,0,0.0205280976479355,0.0512251759197114,0.071827145743085,0.0923312827960336,0.12344965229412,0,0,0.414947915751653,0,0.0512251759197114,0.0411061068763223,0.0311183694980864,0.255085578747458,0,0,0.485503162725192,[1 3 10 30 100 300 1000 3000],[0 0.0101973 0 0.0205281 0.0512252 0.0718271 0.0923313 0.12345],87.9396379
